#
#  Country coordinates on a square 1600x1600 Mercator projection
#  This file was created from the lat/long data at
#  https://developers.google.com/public-data/docs/canonical/countries_csv
#  License: CC-BY 4.0
#  https://creativecommons.org/licenses/by/4.0/
#
ad,807,591
ae,1039,693
af,1101,639
ag,525,723
ai,520,718
al,890,599
am,1000,605
an,493,745
ao,875,858
aq,800,1321
ar,510,972
as,44,864
at,865,559
au,1407,922
aw,489,744
az,1011,605
ba,879,582
bb,535,741
bd,1202,692
be,820,539
bf,793,745
bg,913,590
bh,1025,681
bi,933,815
bj,810,758
bm,512,648
bn,1310,780
bo,512,878
br,594,864
bs,456,685
bt,1202,673
bv,815,1089
bw,910,902
by,924,516
bz,407,722
ca,302,472
cc,1231,854
cd,897,818
cf,893,771
cg,870,801
ch,837,564
ci,775,766
ck,90,897
cl,492,920
cm,855,767
cn,1275,641
co,470,785
cr,428,756
cu,439,697
cv,693,728
cx,1270,847
cy,949,633
cz,869,544
de,846,534
dj,989,747
dk,842,496
dm,527,731
do,488,715
dz,812,675
ec,448,808
ee,911,477
eg,932,681
eh,735,689
er,977,732
es,788,608
et,980,759
fi,922,422
fj,1597,875
fk,535,1070
fm,1469,767
fo,769,447
fr,810,568
ga,852,804
gb,785,503
gd,526,745
ge,993,592
gf,564,783
gg,789,546
gh,795,765
gi,776,628
gl,611,335
gm,732,740
gn,757,756
gp,524,723
gq,846,793
gr,897,611
gs,637,1090
gt,399,729
gu,1444,740
gw,733,747
gy,538,778
gz,952,653
hk,1307,698
hm,1127,1079
hn,417,732
hr,868,575
ht,479,714
hu,887,562
id,1310,808
ie,763,522
il,955,655
im,780,512
in,1151,706
io,1119,828
iq,994,643
ir,1044,648
is,720,417
it,856,595
je,791,548
jm,456,718
jo,961,657
jp,1429,602
ke,968,800
kg,1132,596
kh,1267,744
ki,50,815
km,995,853
kn,521,722
kp,1367,604
kr,1368,629
kw,1011,664
ky,442,712
kz,1097,556
la,1256,710
lb,959,640
lc,529,738
li,842,562
lk,1159,765
lr,758,771
ls,925,938
lt,906,505
lu,827,544
lv,909,491
ly,877,679
ma,768,651
mc,828,588
md,926,560
me,886,590
mg,1008,885
mh,1561,768
mk,897,596
ml,787,716
mm,1226,700
mn,1262,564
mo,1300,704
mp,1446,722
mq,529,734
mr,751,714
ms,524,725
mt,864,629
mu,1056,892
mv,1125,786
mw,952,859
mx,349,707
my,1253,781
mz,958,884
na,875,905
nc,1536,895
ne,841,720
nf,1546,935
ng,831,759
ni,421,742
nl,824,528
no,838,453
np,1174,668
nr,1542,802
nu,45,886
nz,1582,995
om,1049,709
pa,441,762
pe,463,849
pf,136,880
pg,1440,828
ph,1341,742
pk,1108,658
pl,887,527
pm,550,563
pn,234,913
pr,504,718
ps,957,650
pt,763,609
pw,1398,767
py,540,907
qa,1027,683
re,1047,896
ro,911,570
rs,893,582
ru,1243,426
rw,933,809
sa,1000,691
sb,1512,843
sc,1047,821
sd,934,727
se,873,433
sg,1261,794
sh,755,911
si,867,568
sj,905,236
sk,888,552
sl,748,762
sm,855,582
sn,736,735
so,1005,777
sr,551,783
ss,934,772
st,829,799
sv,405,738
sy,973,635
sz,940,922
tc,481,701
td,883,730
tf,1108,1052
tg,804,762
th,1249,729
tj,1117,612
tk,36,840
tl,1359,840
tm,1065,612
tn,842,640
to,21,896
tr,957,612
tt,528,752
tv,1590,832
tw,1338,692
tz,955,828
ua,945,542
ug,944,794
us,375,609
uy,550,958
uz,1083,594
va,855,595
vc,528,742
ve,509,771
vg,513,717
vi,512,717
vn,1281,737
vu,1542,869
wf,13,862
ws,35,862
xk,893,590
ye,1016,730
yt,1001,857
za,902,948
zm,924,859
zw,930,886
